PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,930,08/07/23,DMSFI,"NEW DMSF LOGO, 1 LOT@160000",2300055,"160,000.00",
,931,08/07/23,PHILHEALTH XI,"TARPAULIN REVOCATION 2 X 5, 1@180; TARPAULIN REVOCATION 2 X 5, 2@180",23-07-173,540.00,
,932,,PSA XI,"AGRISTAT POLO SHIRTS, 42@575",PSA-DDS-23-38,"24,150.00",
,933,,NIA XI,TSHIRT W/ PRINTING KHAKI,MISC-2023-06-116A,"27,500.00",
,934,,PFDA,"POLOSHIRT, 41@575",,"23,575.00",
,935,08/11/23,DMSFI,"FOUNDATION TSHIRT (SCHOOL), 248@280",,"69,440.00",
,936,08/11/23,DMSFI,"FOUNDATION TSHIRT (SCHOOL), 488@280",,"136,640.00",
,937,08/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TSHIRT BLACK, 1@350; TSHIRT BLUE 1@350",,700.00,
,938,08/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"25,200.00",
,939,08/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"DTV JERSEY, 39@750",,"29,250.00",
,940,08/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,BREAKROOM BANDITS JERSEY,,"66,300.00",
,941,08/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"58,979.00",
,942,08/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,MASCOT DAWOW (TAILORED) ,112632,"55,000.00",
,943,,PEDA,"ANNIVERSARY POLOSHIRT, 41@575",,"23,575.00",
,944,08/17/23,PHILHEALTH XI,"TARPAULIN BACKDROP, 1@1440",23-08-179,"1,440.00",
,945,08/08/23,PSA XI,"UMBRELLA, 262@300",SOCD-2023-07-07,"78,600.00",
,946,08/23/23,DAVAO CENTRAL CHEMICAL CORPORATION,"PRINT SACKS, 500@7",,"3,500.00",
,947,08/29/23,DMSFI,"EMERGENCY ACRYLIC SIGNAGE W/ MINDANAOAN ACCENT PRINTED STICKER ON POST DOUBLE FACE SIGNAGE 3 FT X 8 FT, 1 LOT@115000",2300079,"115,000.00",
,948,08/29/23,DMSFI,"DMSF LOGO ACRYLIC BUILDUP LIGHTED SIGNAGE, 1 LOT@20000; DMSF LOGO ACRYLIC LOGO SIGNAGE 12"" DIAMETER AT COO OFFICE, 2@6000",23-027,"32,000.00",
,949,08/30/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"LINEN PRINT SUBLIMATION, 4000@32","188,657","128,000.00",
,950,08/30/23,NAPOLCOM XI,"CUSTOMIZED TSHIRT, 46@400",3208016,"18,400.00",
5,951,07/17/23,ZUMMIT FOODS CORPORATION,MAINTENANCE TSHIRT W/ ZUMMIT FOODS CORP. EMBROIDERY,XO-01085,"17,400.00",
,952,07/11/23,PHILHEALTH XI,VARIOUS ITEMS,23-06-117,"5,875.00",
,953,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"121,910.00",
,954,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"27,470.00",
,955,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"68,193.00",
,956,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,UMBRELLA,,"10,000.00",
,957,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,GATEPASS,,"10,800.00",
,958,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,GATEPASS; WORK PERMIT,,"25,200.00",
,959,09/04/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,GATEPASS; WORK PEMIT,,"25,200.00",
,960,08/30/23,PHILHEALTH XI,VARIOUS ITEMS,22-12-353,"61,529.00",
,961,08/30/23,PHILHEALTH XI,"KONSULTA PRMOTIONAL JACKET, 297@800",23-06-151,"237,600.00",
,962,09/01/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"POLOSHIRT W/ EMBROIDERY, 18@500",,"9,000.00",
,963,09/05/23,PAG-IBIG FUND,"TARPAULIN 8 FT X 5 FT, 8@640; TARPAULIN W/ STAND & MECHANICS, 6@1500; TARPAULIN W/O STAND, 4@300",SSWM23-09-151 TO 161,"15,320.00",
,964,09/05/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"R&M SUPPLIES/REPLACEMENT, 6 UNITS@6000",115704,"36,000.00",
,965,09/06/23,DILG XI ,"HARD HAT, 113@240",2023-08-276,"27,120.00",
,966,09/08/23,DILG XI ,"HARD HAT, 3@240",,720.00,
,967,09/08/23,DMSFI,"DMSF LOGO ACRYLIC BUILDUP LIGHTED SIGNAGE 4 FT DIAMETER W/ ADDITIONAL LIGHTING ON THE EXISTING STAINLESS BUILDUP, 1 LOT@80000",2300026,"80,000.00",
,968,09/08/23,DMSFI,"TARP 4 FT X 5 FT, 3@300",,900.00,
,969,09/08/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"UMBRELLA, 40@370",191255,"14,800.00",
,970,09/09/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"PRINT LOGO, 4000@25",189985,"100,000.00",
,971,,NIA XI,"PLAQUE (STAINLESS TYPE), 3@1450",JO-2023-17-125-A,"4,350.00",
,972,09/14/23,DMSFI,"DMSF LOGO ACRYLIC BUILDUP LIGHTED SIGNAGE 8 FT, 1 LOT@190000",2300025,"190,000.00",
,973,09/14/23,ATENEO DE DAVAO UNIVERSITY,"POLOSHIRTS W/ EMBROIDERY COMBINATION, 18@830",,"14,940.00",
,974,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP 3 FT X 4 FT, 4 SETS@672",,"2,688.00",
,975,09/16/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP BACK TO BACK (HANG),  4 SETS@672",,"2,688.00",
,976,09/20/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"POLOSHIRTS FULL COLORS, 20@550",,"11,000.00",
,977,09/21/23,DEPARTMENT OF TRADE AND INDUSTRY XI ,"TSHIRT BLACK, 50@185",2023-09-247,"9,250.00",
,978,09/22/23,UP MINDANAO,"TSHIRT SUBLIMATION, 140@400",2023-09-630,"56,000.00",
,979,09/25/23,LAPANDAY FOODS CORPORATION,"SINTRA BOARD 12"" X 18"", 73@140; SINTRA BOAR S-15""X22""",91101092622,"11,030.00",
,980,09/25/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"JACKET EMBROIDERY ONLY, 95@450",,"42,750.00",
,981,09/25/23,DMSFI,"TARP 3 FT X 6 FT, 3@270",,810.00,
,982,09/25/23,DMSFI,"TSHIRTS OSA, 175@200",,"35,000.00",
,983,,NATIONAL POLICE COMMISSION XI,POLOSHIRT GRAY EMBROIDERED,2309020,"19,500.00",
,984,09/23,MARINA XI,"ARTA ID W/ CARD HOLDER/ 35@220; ORGANIZATIONAL CHART, 2@324; CSC ANNIVERSARY TARP., 1@720",2023-0050,"9,068.00",
,985,09/27/23,DMSFI,"TSHIRT COLLEGE OF MEDICINE, 73@350",,"25,550.00",
,986,09/27/23,DMSFI,"TARP PINNING, 1@3210",,"3,210.00",
,987,09/28/23,DMSFI,"LIGHTED PYLON ACRYLIC SIGNAGE W/ MINDANAOAN ACCENT, 1 LOT@125000",2300116,"125,000.00",
,988,09/28/23,DMSFI,"LIGHTED PYLON DIRECTIONAL ACRYLIC SIGNAGE W/ MINDANAOAN PRINTED STICKER, 1 LOT@110000",2300115,"110,000.00",
,989,09/28/23,DMSFI,LIGHTED PYLON DIRECTIONAL ACRYLIC SIGNAGE W/ MINDANAOAN ACCENT PRINTED STICKER ON POST,2300114,"110,000.00",
,990,09/28/23,DAVAO CONCRETE POLES CORPORATION,"TSHIRT SHORT SLEEVE, 77@220; TSHIRT SHORT SLEEVE W/ LOGO, 123@210",8416,"42,770.00",
,991,,BSP,"TARP, 1@576",6600000764,576.00,
,992,10/04/23,PHILHEALTH XI,"WHITEBOARD GLASSBOARD, 3 UNITS@25000",23-08-203,"75,000.00",
,993,10/03/23,DMSFI,"TARP 4 X 8 FT, 2@480; TARP 3 X 5 FT, 6@225",,"2,310.00",
,994,10/03/23,FULL POTENTIAL SOLUTIONS,VARIOUS ITEMS,,"24,004.00",CANCELLED
,995,10/03/23,FULL POTENTIAL SOLUTIONS,VARIOUS ITEMS,,"29,500.00",CANCELLED
,996,10/03/23,FULL POTENTIAL SOLUTIONS,VARIOUS ITEMS,,"29,500.00",
,997,,PHILHEALTH XI,VARIOUS ITEMS,,"9,676.00",
,998,,PHILHEALTH XI,"TARPAULIN, 1@1800",23-08-209,"1,800.00",
,999,,PHILHEALTH XI,VARIOUS ITEMS,,"2,012.28",
,1000,10/05/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP, 1@1600",,"1,600.00",
6,1001,08/17/23,DMSFI,TARPAULIN WELCOME TARP (OSA) 1@360,,360.00,
,1002,09/22/23,PAG-IBIG FUND,"TARPAULIN 12 FT X 8 FT, 1@15",SSWM-23-09-276-SM23046,15.00,
,1003,09/25/23,USEP,"PAINT FOR DISPLAY PANELS, 1 LOT@14,800",,"14,800.00",
,1004,09/25/23,USEP,"PHOTOBOOTH RENTAL, 1 LOT@6000",2023-09-0840,"6,000.00",
,1005,09/25/23,USEP,"TARPAULIN PRINITNG & LAYOUT, 1@2650",2023-09-0841,"2,650.00",
,1006,09/28/23,DILG XII,"CUSTOMIZED TOTEBAG, 300@290; TUBLER, 300@390",2023-09-297,"204,000.00",
,1007,09/29/23,BUREAU OF CUSTOMS,DRYSEAL STAMP,,"4,700.00",CANCELLED
,1008,09/29/23,BUREAU OF CUSTOMS,"DRYSEAL STAMP, 2@4700",2023-09-0071,"9,400.00",
,1009,09/29/23,BARANGAY CABANTIAN,"TSHIRTS ARAW, 400@210",,"84,000.00",
,1010,09/29/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,LINEN BED SHEET (PRINT) 4000@32,"191,984","128,000.00",
,1011,07/15/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"BACK TO BACK TARP, 4@672",,"2,688.00",
,1012,09/16/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP BACK TO BACK (BEST IN CLASS DAVAO), 4 SETS@632",,"2,688.00",
,1013,,UP MINDANAO,"JACKET W/ EMBROIDERY LOGO, 8@1500; POLOSHIRT, 16@600",2023-09-666,"21,600.00",
,1014,,DMSFI,"TARP, 2@225",,450.00,
,1015,10/05/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP MEDICAL AESTHETIC, 1@1600",,"1,600.00",
,1016,10/09/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"BUTTON PIN, 300@15","193,269","4,500.00",
,1017,10/10/23,DCCC,"KRAFT PRINT, 3900@7",87723,"27,300.00",
,1018,10/11/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"POSTER MATTE, 2@480",,960.00,
,1019,10/10/23,DAVAO CONCRETE POLES CORPORATION,HEALTH AND SAFETY TSHIRT WHITE,,"20,940.00",
,1020,10/12/23,DMSFI,"TARP 3 FT X 6 FT INTRAMS WINNER, 2@270",,540.00,
,1021,,USEP,"PHOTOBOOTH RENTAL, 1 LOT@6000",2023-10-0886,"6,000.00",
,1022,10/13/23,PHILHEALTH XI,"TARP EFW 2 FT X 5 FT GLOSSY TYPE, 5@630",23-09009,"3,150.00",
,1023,10/11/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"POSTER MATTE ORGANIZATION CHART, 2@480",,960.00,
,1024,10/16/23,PAG-IBIG FUND,"TRIFIT SHIRT W/ PRINT, 759@137",SSWM23-09-311,"103,983.00",
,1025,10/16/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"UMBRELLA RED, 8@350; UMBRELLA BLACK, 7@350; CAP DTV, 15@280",,"9,450.00",
,1026,10/17/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"119,690.00",
,1027,10/19/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"14,860.00",
,1028,10/19/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"23,997.00",
,1029,10/19/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"53,190.00",
,1030,10/19/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,TSHIRT SUBLIMATION,,"22,500.00",
,1031,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,,CANCELLED
,1032,10/23/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"16,260.00",
,1033,10/19/23,DMSFI,"REMOVAL OF OLD DENTISTRY BUILDING SIGNAGE/INSTALLATION OF NEW DMSF DENTISTRY BUILDING SIGNAGE USING ALUMINUM CLADDING AS BASE AND LIGHTED ACRYLIC BUILD-UP FOR THE LOGO AND TEXT 43 INCHES X 240 INCHES, 1LOT@295000",2300147,"275,000.00",LESS DISCOUNT
,1034,10/19/23,DMSFI,"REMOVAL OF OLD DMSF HOSPITAL SIGNAGE AND INSTALLATION OF NEW DMSF HOSPITAL SIGNAGE USING LIGHTED ACRYLIC BUILD-UP FOR THE TEXT DIMENSIONS 73 CM X 655 IN WIDTH, 1LOT@250000",2300164,"235,000.00",LESS DISCOUNT
,1035,10/23/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP W/TARP, 5@1650",,"8,250.00",
,1036,10/24/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"ROLLUP W. MECHANISM HALLOWEEN, 3@1600",,"4,800.00",
,1037,10/24/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"AQUA FLASK W/ PRIDE TIVO STARS, 3@850; AQUA FLASK W/ PRINT TIVO, 8@850",,"9,350.00",
,1038,10/26/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"TARP 6 FT X 8 FT INSTALLATION, 3@1100; R of mechanism, 3@1600",,"8,100.00",
,1039,10/01/23,DMSFI,"TARP MEDICAL 4 FT X 8 FT, 1@480; TARP ORGANIZATIONAL, 6@55",,330.00,
,1040,10/31/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP WELCOME PULL UP, 4@450",,"1,800.00",
,1041,10/12/23,PHILHEALTH XI,"CEREMONIAL PHILHEALTH ID CARD, 1@1200; TARPAULIN 4 FT X 8 FT, 1@576",JO-23-10-018,"1,876.00",
,1042,11/03/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,TSHIRTS,,"18,900.00",
,1043,11/06/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"POLSHIRTS W/ PRINT DIRECTV, 30@500; POLOSHIRT CONGSLEEVE, 1@550",,"15,550.00",CANCELLED
,1044,10/06/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,POLSHIRTS W/ PRINT DIRECTV,,"17,280.00",
,1045,11/07/23,USEP,"UMBRELLA SMARRDEC, 100@302",2023-11-1006,"30,200.00",
,1046,11/07/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,VARIOUS ITEMS,190317,"251,360.00",
,1047,11/06/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,VARIOUS ITEMS,196435,"6,750.00",
,1048,11/11/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT COMBI LAVENDER AND BLACK, 26@450",196841,"11,700.00",
,1049,11/11/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"STICKER FOR VAN W/ MAGNETIC SHEET, 8@400",,"3,200.00",CANCELLED
,1050,11/10/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP ROLLUP W/ MECHANISM, 5@1650",,"8,250.00",
7,1051,10/23/23,DMSFI,"ORGANIZATION 2 X 3 FT, 6@90",,540.00,
,1052,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,,,,CANCELLED
,1053,,PPA DAVAO,"TOTE BAG, 400@150",,"60,000.00",
,1054,11/20/23,PAG-IBIG FUND,TARPAULIN BANNER TYPE 3 X 5 CAMPAIGN TO END VIOLENCE AGAINST WOMEN,SSWM-23-11-429,"3,360.00",
,1055,11/20/23,COMMISSION IN POPULATION AND DEVELOPMENT XI,"POLOSHIRT SUBLIMATION XS-L, 62@435; POLOSHIRT XL-2XL, 18@450",2023-11-0167,"35,070.00",
,1056,11/21/23,JEWM AGRO-INDUSTRIAL CORPORATION,"TSHIRT W/ PRINT, 19@155",,"2,945.00",
,1057,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"12,590.00",
,1058,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,TSHIRT W/ PRINT,,"11,500.00",DR#: 1695
,1059,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,PRIDE SHIRTS,,"7,500.00",DR#: 774
,1060,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"45,360.00",
,1061,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"18,833.00",
,1062,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"23,084.00",
,1063,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"230,750.00",
,1064,11/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"127,500.00",
,1065,11/21/23,BANGKO SENTRAL NG PILIPINAS MRO,"WHITE VNECK UNDERSHIRTS, 414@425; BLACK VNECK UNDERSHIRTS, 276@435; BLACK SOCKS, 659@245; DARK GRAY SPORTS SHIRTS, 271@430; JOGGING PANTS, 3@595; RUNNING SHORTS, 268@555",,"724,520.00",
,1066,,BANGKO SENTRAL NG PILIPINAS,"PRINTING OF TARP 1 LOT,; 6 X 3 ECONOMI AND FINANCIAL LITERACY WEEK, 1PC; 11 X 4 FOR THE 18 DAY CAMPAIGN TO END VIOLENCE AGAINS WOMEN, 1PC",6600001011,"1,110.00",
,1067,11/23/23,PHILHEALTH XI,"TARP 2 X 12 LH10 TAGUM, 1PC; TARP 7 X 4, 1PC",SO-23-10-021,"2,016.00",
,1068,11/24/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"36,876.00",
,1069,11/28/23,DMSFI,"TARP 1 X 3, 12@45; TARP 1X3, 8@45",,900.00,
,1070,11/28/23,DAVAO FISHPORT COMPLEX,"TSHIRT W/ PRINT, 43@240",,"10,320.00",
,1071,11/29/23,PSA DAVAO REGION,"POLOSHIRTS FOR MONTHLY PALAY CORN SITUATION - COTTON, 85@475",SOCD-2023-11-45,"40,375.00",
,1072,11/29/23,PSA DAVAO REGION,"POLOSHIRTS FOR PALAY + CORN PROD. SURVERY - COTTON, 95@475",SOCD-2023-11-03,"45,125.00",
,1073,11/30/23,USEP,"8GB FLASHDRIVE, 40@380; 2024 PLANNER, 40@138; TRIFOLD UMBRELLA, 25@238; POWERBANK 10000 MAH, 3@590; NOTEBOOK/JOURNAL, 15@120",2023-11-10683,"30,240.00",
,1074,11/30/23,DMSFI,"2 X 3 WELCOME TARP PASKO, 1@90; 4 X 6 WELCOME TARP PASKO, 1@360; 1 X 3 FINANCE OFFICE ORG., 1@45",,495.00,
,1075,12/01/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS TARPAAULINS,,"25,984.45",
,1076,12/02/23,DMSFI,"TSHIRTS AMBULATORY DRYFIT, 59@180",,"10,620.00",
,1077,12/02/23,PSA DAVAO DEL SUR,"POLOSHIRT, 55@745",PSA-DDS-23-87,"40,975.00",
,1078,12/05/23,WESTERN INTERWEB NETWORK INC.,"PRINT LABOR TSHIRT, 100@60",,"6,000.00",
,1079,12/05/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TUMBLER BLUE, 50@600",,"30,000.00",
,1080,,PHILIPPINE PORTS AUTHORITY,"FLASH MUG, 27@270",,"8,100.00",
,1081,12/07/23,PAG-IBIG FUND,"TARP 3 X 5 PLEDGE OF COMMITMENT MINDANAO GROUP, 1@240",,240.00,
,1082,12/07/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP ROLLUP REPLACEMENT PASKO, 2@450",,900.00,
,1083,12/08/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"GLASS W/ PRINT, 20@190",,"3,800.00",
,1084,12/09/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP PODIUM SOLOHIYA 47 CM X 97 CM, 16@87.50",,"1,400.00",
,1085,12/10/23,DILG XI,"OPERATION LISTO DISASTER PREPAREDNESS MANUAL, 65 SETS@1390",11-415,"90,870.00",
,1086,12/10/23,DILG XI,"CUSTOMIZED FABRICATION OF TRAINING KIT BAGS, 65@600",2023-11-401,"39,000.00",
,1087,12/10/23,DILG XI,"TSHIRTS PRINTING TO THE PARTICIPATING TRAINING TEAM OF OPERATION LISTO DISASTER PREPAREDNESS MANUAL, 116@430",2023-11-402,"49,880.00",
,1088,12/10/23,DILG XI,"CUSTOMIZED/FABRICATION OF TRAINING KIT BAGS, 36@600",,"21,600.00",
,1089,12/11/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ABG WALL BRANDING, 1 LOT@ 501150",120377,"501,150.00",
,1090,12/11/23,DTI XI,"TSHIRTS BLACK W/ PRINT, 50@245",,"12,250.00",
,1091,12/13/23,DMSFI,"STICKER ON ACRYLIC DOOR SIGN 7.5 X 16.5, 9@800",2300205,"7,200.00",
,1092,12/14/23,PAG-IBIG FUND,VARIOUS TARPAULINS,,"12,438.00",
,1093,12/14/23,PCA XI,"WALL CLOCK, 15@300",,"4,500.00",
,1094,12/15/23,PAG-IBIG FUND,"ECO BAG VAW FREE PHILIPPINES, 160@60",,"9,600.00",
,1095,11/03/23,PPA,"BAG W/ PRINT, 20@140; DISPENSER, 20@65",,"4,100.00",
,1096,12/14/23,DMSFI,"TSHIRTS PASKO, 1165@190",,"221,350.00",
,1097,12/15/23,PAG-IBIG FUND,"LABOR AND MATERIAL FOR THE SUPPLY AND DELIVERY INSTALLATION OF 2 PCS SIGNAGE INTERIOR, 2@2300",SM-23066,"4,600.00",
,1098,12/18/23,PSA XI,"POLOSHIRT FOR THE PALAY AND CORN PRODUCTION SURVEY OPERATION, 575@420",SOCD-2023-12-01,"241,500.00",
,1099,12/19/23,PAG-IBIG FUND,"PULLUP BANNER W/ ALUMINUM STANDEE 2.75 X 5 FT, 6@1450; BANNER TYPE 3 X 5, 8@225; BANNER TYPE 6 X 6.5, 2@585; BANNER TYPE 6 X 8, 1@768",SM-23147,"12,438.00",
,1100,,,,,,NO CONTENT
8,1101,12/05/23,DAVAO CONCRETE POLES CORPORATION,"LONGSLEEVE DRIFIT, 250@200",8553,"50,000.00",
,1102,12/14/23,DMSFI,"TARPAULIN MASTERPLAN 8 X 14 FT, 2@2240",,"4,480.00",
,1103,12/13/23,LAPANDAY FOODS CORPORATION,"CANVAS TARPAULIN 36 X 48, 6@216; SINTRA BOARD 12 X 16 IN, 5@140; CANVASS TARPAULIN 15 X 22 IN, 7@40",91109193619,"2,276.00",
,1104,,PHILHEALTH XI,VARIOUS ITEMS,,"690,506.00",
,1105,12/15/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"WHISTLE - ASSTD COLORS, 500@15",199043,"7,500.00",
,1106,12/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,TARP ERP @742.50; SWEATER@7000,,"7,742.50",
,1107,12/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"45,392.00",
,1108,12/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,TUMBLER/TSHIRT @7600; HOODY AQUA BLUE @42500,,"109,500.00",
,1109,12/21/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,JACKET@14400; PAROL FRAME@2345; ECOBAG@20000; JACKET BAG@25500,,"62,245.00",
,1110,12/18/23,UP MINDANAO,"TSHIRTS W/ PRINT, 150@400",2023-12-1001,"60,000.00",
,1111,12/19/23,PSA XI,"POLOSHIRT FOR PERSONAL INVOLVED IN PROVINCIAL PRODUCT ACCOUNT (PPA-NATIONWIDE), 575@420",SOCD-2023-12-01,"241,500.00",
,1112,11/23/23,BUREAU OF CUSTOMS,"TARPAULIN 4 X 11, 2@792; NOTEPAD, 187@220",2023-11-0097,"42,724.00",
,1113,11/28/23,BUREAU OF CUSTOMS,"TSHIRT WAW, 187@300",2023-11-0098A,"56,100.00",
,1114,12/28/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"PRINT ONLY FOR LINEN, 32@4000; PRINT ONLY FOR PILLOW CASE, 25@4000",,"228,000.00",
,1115,12/28/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,VARIOUS ITEMS,,"19,990.00",CANCELLED
,1116,12/28/23,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"JACKET, 6@800",,"4,800.00",
,1117,01/13/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"23,100.00",
,1118,01/15/24,LAPANDAY FOODS CORPORATION,"CALLING CARD, 1 BOX@350",9110193518,350.00,
,1119,,NIA XI,"OFFICE JACKET W/ NIA EMBROIDER, 115@850",,,
,1120,01/16/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,VAARIOUS ITEMS,,"83,300.00",
,1121,,PHILHEALTH XI,"DRYFIT FOR MAN COM, 50@429",,"21,450.00",
,1122,01/17/24,PHILHEALTH XI,"FOLDABLE FAN WHITE, 1000@30; BAMBOO FLASK, 81@475",23-12-038,"68,475.00",
,1123,01/22/24,DMSFI,"REMOVAL OF EXISTING SIGNAGE & INSTALLATION OF NEW LIGHTS ACRYLIC BUILDUP DOUBLE FACED SIGNAGE W/ ALUMINUM CLADDING AS BASE, 2 UNITS @56000",2300264,"50,000.00",60000 DISCOUNT
,1124,01/22/24,DMSFI,VARIOUS ITEMS,2300224,"85,000.00",15000 DISCOUNT
,1125,01/24/24,DMSFI,"LIGHTED PYLON CORRECTIONAL ACRYLIC SIGNAGE W/ MINDANAOANACCENT STICKER ON POST 4 X 8 FT, 1 LOT@110000",23000114,"110,000.00",
,1126,01/24/24,DMSFI,"LIGHTED PYLON CORRECTIONAL ACRYLIC SIGNAGE W/ MINDANAOANACCENT STICKER ON POST 4 X 8 FT, 1 LOT@110000",23000115,"110,000.00",
,1127,01/24/24,DMSFI,"LIGHTED PYLON CORRECTIONAL ACRYLIC SIGNAGE W/ MINDANAOAN ACCENT PRINTED STICKER ON POST MAIN BUILDING NEAR JUNA PARK DOUBLE SIDED SIGNAGE 4 FT X 8 FT, 1 LOT@125000",23000116,"125,000.00",
,1128,01/26/24,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"MUG INSULATED, 50@250; FOLDABLE UMBRELLA, 30@250; JACKET, 10@800",,"28,000.00",CANCELLED
,1129,01/29/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"CUSTOMIZED MUG W/ MUG BOX, 200@60",200502,"12,000.00",
,1130,02/01/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"PACKBAG TIVO (BLACK), 9@500",,"4,500.00",
