PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,768,02/21/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"BAMBOO TUMBLER, 4PCS@370",176984,"1,480.00",
,769,02/21/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"COTTON SHIRT BLUE CORNER ARMY GREEN M 1 PC@240, L 4PCS@240, XL 2PCS@240",176983,"1,680.00",
,770,,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,COTTON SHIRT BLUE CORNER ARMY GREEN 2XL 1@240,,240.00,
,771,02/09/23,PAG-IBIG FUND,"LABOR AND MATERIALS FOR THE SUPPLY, DELIVERY, FABRICATION AND INSTALLATION OF EXTERIOR CANOPY SIGNAGE FOR VERANZA SERVICE DESK, 1@45000",GEN22033,"45,000.00",
,772,02/28/23,JEWM AGRO-INDUSTRIAL CORPORATION,"TSHIRT DRIFIT WHITE, 60@165",25885,"9,900.00",
,773,02/28/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"30,310.00",
,774,02/28/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"16,750.00",
,775,02/28/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"33,240.00",
,776,,NATIONAL POLICE COMMISSION REGIONAL XI," POLOSHIRT W/ NAPOLCOM LOGO EMBROIDERED, 41@500",2302004,"20,500.00",
,777,3/23,PHILHEALTH XI,"TARPAULIN 4.5FT X 8FT, 1@648; TARP 8FT X 12FT, 1@1728",23-02-027,"2,376.00",
,778,03/10/23,PHILIPPINE FISHERIES DEVELOPMENT AUTHORITY,"GAD TSHIRT ROUND NECK LAVENDER W/ LOGO, 38@250",2023-02-020,"9,500.00",
,779,,,,,,N/A
,780,03/01/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"LAMINATED STICKER ON SINTRA BOARD 1.09M X 2.24M, 1@5215; LAMINATED STICKER ON SINTRA BOARD WITH INSTALLATIONS 28M X 19M, 1@11680",,"15,000.00",1895 (LESS)
,781,03/01/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP BANNER, 2@1600",,"3,200.00",
